,Date,DomicileCode,Domicile,ExterieurCode,Exterieur,DomicileForme,ExterieurForme,DiffForme,FAF_VictoiresDomicile,FAF_VictoiresExterieur,SemaineSaison,Mois,AnneeSaison,Cible,DomicileAvgButsMarques_Home,DomicileAvgButsEncaisses_Home,DomicileAvgButsMarques_Away,DomicileAvgButsEncaisses_Away,ExterieurAvgButsMarques_Home,ExterieurAvgButsEncaisses_Home,ExterieurAvgButsMarques_Away,ExterieurAvgButsEncaisses_Away,DiffButs
51,2016-02-06,21,Newcastle,31,West Brom,1,2,-1,0,1,27,2,2015,1,1.5833333333333333,1.5,0.5,2.1666666666666665,1.1538461538461537,1.3846153846153846,0.7272727272727273,1.1818181818181819,-0.8980186480186478
52,2016-02-06,25,Southampton,32,West Ham,4,3,1,0,1,27,2,2015,1,1.8333333333333333,1.0833333333333333,0.8333333333333334,0.9166666666666666,1.6666666666666667,1.1666666666666667,1.5,1.1666666666666667,-0.1666666666666664
53,2016-02-06,26,Stoke,9,Everton,1,3,-2,1,0,27,2,2015,0,1.1818181818181819,0.9090909090909091,0.8461538461538461,1.3846153846153846,2.076923076923077,1.6923076923076923,1.4545454545454546,1.0909090909090908,-1.0139860139860142
54,2016-02-06,28,Swansea,8,Crystal Palace,3,0,3,1,0,27,2,2015,0,1.0,1.3333333333333333,0.9166666666666666,1.3333333333333333,1.0769230769230769,1.3076923076923077,1.0,1.0909090909090908,-0.4283216783216782
55,2016-02-06,29,Tottenham,30,Watford,4,1,3,1,0,27,2,2015,1,1.8333333333333333,0.75,1.8333333333333333,0.8333333333333334,1.0,0.8461538461538461,1.2727272727272727,1.3636363636363635,2.0203962703962697
56,2016-02-07,7,Chelsea,19,Man United,4,3,1,1,0,27,2,2015,0,1.2727272727272727,1.4545454545454546,1.1538461538461537,1.7692307692307692,1.3333333333333333,0.5833333333333334,1.75,1.25,-2.0472027972027975
57,2016-02-07,2,Bournemouth,0,Arsenal,3,4,-1,0,1,27,2,2015,0,1.6666666666666667,1.5833333333333333,1.0,1.25,1.25,0.4166666666666667,1.3333333333333333,1.3333333333333333,-0.9999999999999998
58,2016-02-13,2,Bournemouth,26,Stoke,3,1,2,0,1,28,2,2015,0,1.1666666666666667,1.5,1.1538461538461537,1.7692307692307692,1.0833333333333333,1.0833333333333333,0.8461538461538461,1.3846153846153846,-0.41025641025641024
59,2016-02-13,7,Chelsea,21,Newcastle,2,2,0,1,0,28,2,2015,1,1.6153846153846154,1.5384615384615385,1.0,1.25,1.5384615384615385,1.3846153846153846,0.5,2.1666666666666665,1.3397435897435894
60,2016-02-13,8,Crystal Palace,30,Watford,1,1,0,1,0,28,2,2015,0,1.0769230769230769,1.3076923076923077,1.0,1.0833333333333333,1.0,0.8461538461538461,1.1666666666666667,1.3333333333333333,-0.30128205128205154
